Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
International Journal of Interactive Multimedia and Artificial Intelligence,International Journal of Interactive Multimedia and Artificial Intelligence,1989-1660,1989-1660,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",537,2.561
Swarm Intelligence,Swarm Intelligence,1935-3812,1935-3820,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",591,2.556
COMPUTATIONAL LINGUISTICS,COMPUTATIONAL LINGUISTICS,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,426",2.51
NEURAL COMPUTATION,NEURAL COMPUTATION,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","14,624",2.505
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,623",2.441
SIAM Journal on Imaging Sciences,SIAM Journal on Imaging Sciences,1936-4954,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,789",2.313
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,0921-0296,1573-0409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,904",2.259
Journal of Web Semantics,Journal of Web Semantics,1570-8268,1873-7749,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,207",2.238
COMPUTER SPEECH AND LANGUAGE,COMPUTER SPEECH AND LANGUAGE,0885-2308,1095-8363,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,402",2.116
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",806,2.039
