Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Information Fusion,,,,,16.0,16.0,35.0,51.0,30.0,23.0,13.0,9.0,9.0,5.0,3.0,3.0,1.0,1.0,1.0
Traitement du Signal,,,,,,82.0,87.0,89.0,92.0,99.0,103.0,109.0,112.0,113.0,,120.0,107.0,114.0,115.0
Genetic Programming and Evolvable Machines,,,,,,52.0,63.0,28.0,35.0,67.0,75.0,82.0,78.0,81.0,92.0,100.0,89.0,90.0,91.0
Information Technology and Control,,,,,,82.0,87.0,90.0,91.0,98.0,102.0,108.0,109.0,111.0,115.0,121.0,127.0,125.0,121.0
ACM Transactions on Autonomous and Adaptive Systems,,,,,,44.0,30.0,31.0,71.0,70.0,67.0,68.0,68.0,79.0,,,98.0,116.0,
International Journal of Fuzzy Systems,,,,,,82.0,87.0,90.0,93.0,100.0,104.0,110.0,65.0,67.0,60.0,46.0,39.0,52.0,54.0
Fuzzy Optimization and Decision Making,,,,,,35.0,37.0,24.0,28.0,43.0,28.0,25.0,40.0,51.0,35.0,31.0,46.0,47.0,36.0
Advances in Electrical and Computer Engineering,,,,,,81.0,83.0,84.0,88.0,95.0,97.0,103.0,105.0,109.0,110.0,105.0,112.0,130.0,126.0
International Journal of Applied Mathematics and Computer Science,,,,,,53.0,61.0,68.0,69.0,65.0,65.0,80.0,85.0,114.0,116.0,122.0,129.0,135.0,131.0
Malaysian Journal of Computer Science,,,,,,,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,111.0,115.0,125.0,126.0,131.0
Turkish Journal of Electrical Engineering and Computer Sciences,,,,,,,87.0,90.0,93.0,100.0,94.0,98.0,101.0,105.0,112.0,117.0,120.0,135.0,131.0
The International Arab Journal of Information Technology,,,,,,,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,116.0,122.0,128.0,134.0,129.0
Journal of Real-Time Image Processing,,,,,,,69.0,74.0,72.0,74.0,79.0,81.0,81.0,72.0,78.0,89.0,84.0,91.0,69.0
Journal of Ambient Intelligence and Smart Environments,,,,,,,67.0,70.0,78.0,91.0,98.0,99.0,99.0,94.0,93.0,106.0,103.0,101.0,116.0
SIAM Journal on Imaging Sciences,,,,,,,1.0,1.0,7.0,18.0,17.0,21.0,27.0,37.0,48.0,51.0,64.0,95.0,97.0
Natural Language Engineering,,,,,,,,75.0,83.0,94.0,100.0,96.0,95.0,91.0,77.0,85.0,113.0,120.0,104.0
Applied Ontology,,,,,,,,58.0,57.0,71.0,85.0,90.0,66.0,64.0,101.0,109.0,104.0,117.0,124.0
Cognitive Computation,,,,,,,,45.0,58.0,63.0,73.0,65.0,35.0,25.0,31.0,,36.0,45.0,35.0
Natural Computing,,,,,,,,,66.0,85.0,84.0,77.0,90.0,97.0,94.0,86.0,94.0,112.0,105.0
International Journal of Bio-Inspired Computation,,,,,,,,,48.0,42.0,46.0,43.0,70.0,59.0,90.0,108.0,102.0,113.0,112.0
Journal on Multimodal User Interfaces,,,,,,,,,55.0,76.0,72.0,74.0,77.0,48.0,44.0,73.0,83.0,82.0,67.0
Swarm Intelligence,,,,,,,,,31.0,30.0,7.0,4.0,25.0,30.0,36.0,57.0,49.0,64.0,86.0
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,,,,,,,,,14.0,16.0,30.0,59.0,52.0,50.0,56.0,19.0,15.0,27.0,33.0
