Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
IEEE Transactions on Human-Machine Systems,,,,,,,,,,0.393,1.982,1.8,2.493,2.563,3.332,3.374,2.968,4.124,4.124
Memetic Computing,,,,,,,,,,,1.0,0.9,2.205,1.925,2.674,3.86,5.9,3.577,3.577
IET Biometrics,,,,,,,,,,,0.857,0.764,1.382,1.836,2.092,1.821,2.588,2.716,2.716
Semantic Web,,,,,,,,,,,,1.786,2.889,2.224,3.524,3.182,2.214,3.105,3.105
Frontiers in Neurorobotics,,,,,,,,,,,,1.723,2.486,2.606,3.0,2.574,2.65,3.493,3.493
Journal of Ambient Intelligence and Humanized Computing,,,,,,,,,,,,0.835,1.588,1.423,1.91,4.594,7.104,3.662,3.662
International Journal of Machine Learning and Cybernetics,,,,,,,,,,,,1.11,1.699,2.692,3.844,3.753,4.012,4.377,4.377
Statistical Analysis and Data Mining,,,,,,,,,,,,0.574,0.827,0.865,0.741,1.396,1.051,1.247,1.247
Swarm and Evolutionary Computation,,,,,,,,,,,,2.963,3.893,3.818,6.33,6.912,7.177,10.267,10.267
IET Image Processing,,,,,,,,,,,,,1.044,1.401,2.004,1.995,2.373,1.773,1.773
ACM Transactions on Asian and Low-Resource Language Information Processing,,,,,,,,,,,,,0.562,0.339,0.788,1.42,1.413,1.471,1.471
IEEE Transactions on Cognitive and Developmental Systems,,,,,,,,,,,,,0.0,1.952,2.755,2.667,3.379,4.546,4.546
Egyptian Informatics Journal,,,,,,,,,,,,,,,2.306,3.119,3.943,4.195,4.195
Big Data Research,,,,,,,,,,,,,,,2.952,2.673,3.578,3.739,3.739
IEEE Transactions on Games,,,,,,,,,,,,,,,0.0,1.886,1.851,1.237,1.237
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,,,,,,,,,,,2.561,3.137,4.936,4.936
ACM Transactions on Interactive Intelligent Systems,,,,,,,,,,,,,,,,1.63,2.137,1.887,1.887
Complex &amp; Intelligent Systems,,,,,,,,,,,,,,,,3.791,4.927,6.7,6.7
PeerJ Computer Science,,,,,,,,,,,,,,,,3.091,1.392,2.411,2.411
Artificial Intelligence and Law,,,,,,,,,,,,,,,,,2.667,2.723,2.723
Evolving Systems,,,,,,,,,,,,,,,,,1.908,2.347,2.347
Journal of Artificial Intelligence and Soft Computing Research,,,,,,,,,,,,,,,,,2.5,2.675,2.675
International Journal of Multimedia Information Retrieval,,,,,,,,,,,,,,,,,3.205,2.553,2.553
Nature Machine Intelligence,,,,,,,,,,,,,,,,,15.508,25.898,25.898
Transactions of the Association for Computational Linguistics,,,,,,,,,,,,,,,,,,9.194,0.0
IEEE Transactions on Intelligent Vehicles,,,,,,,,,,,,,,,,,,5.009,5.009
CAAI Transactions on Intelligence Technology,,,,,,,,,,,,,,,,,,7.985,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,,,,,,,,,,,,,,4.851,4.851
Machine Learning: Science and Technology,,,,,,,,,,,,,,,,,,6.013,6.013
Advanced Intelligent Systems,,,,,,,,,,,,,,,,,,7.298,7.298
