Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
International Journal on Artificial Intelligence Tools,0.573,0.43,0.406,0.376,1.0,1.147,0.85,1.781,0.886,0.619,0.954,1.0,1.214,1.159,1.286,1.375,1.518,1.027,1.027
Image and Vision Computing,62.127,70.264,45.884,40.046,33.303,27.586,37.573,50.355,46.619,31.196,26.245,27.548,23.239,15.017,18.885,18.419,11.897,8.043,4.611
Expert Systems,15.104,17.884,10.186,7.7,10.348,12.362,9.24,8.748,6.177,4.932,6.558,7.803,10.282,11.914,9.148,6.882,6.518,4.62,2.145
Artificial Intelligence Review,26.641,43.144,49.097,32.125,16.832,13.957,30.942,87.915,74.36,33.994,28.851,35.506,49.841,51.436,33.961,33.656,34.333,29.908,19.51
The Knowledge Engineering Review,53.805,101.021,56.737,42.084,31.466,22.452,10.84,11.009,20.979,20.781,16.702,20.754,22.675,11.094,7.066,6.765,7.413,4.381,2.276
AI Magazine,1.291,1.521,1.0,1.304,0.691,1.018,0.525,0.808,0.726,0.5,0.595,0.628,0.812,1.032,14.414,12.917,6.01,4.152,0.454
Computational Intelligence,14.037,27.01,26.53,26.101,20.258,3.683,12.51,8.397,8.917,10.95,28.773,27.395,16.133,13.54,4.797,5.813,6.174,5.131,3.356
Applied Artificial Intelligence,25.005,23.792,18.04,18.22,13.458,12.022,10.713,10.876,10.43,7.51,7.978,9.739,7.601,7.854,12.29,10.086,7.462,6.206,2.319
International Journal of Intelligent Systems,29.944,22.837,17.557,20.319,15.39,14.879,21.018,26.468,23.3,18.729,15.585,20.29,24.092,22.555,18.514,22.251,22.858,14.337,4.614
Computer Speech &amp; Language,31.408,14.395,16.103,29.618,35.896,,17.795,28.695,29.431,20.696,15.782,18.813,17.574,11.631,10.847,10.507,7.392,6.234,4.3
Machine Learning,233.053,183.694,116.717,110.227,91.208,49.317,62.063,64.734,59.942,47.385,32.769,30.468,25.301,19.166,18.105,17.026,11.766,9.339,6.499
International Journal of Approximate Reasoning,20.335,21.058,26.55,24.228,26.031,32.644,32.629,25.427,28.394,28.453,19.746,19.409,15.788,10.655,10.861,11.057,10.649,7.486,2.727
AI EDAM,0.156,0.128,56.095,56.221,0.477,0.636,0.64,0.786,0.407,0.553,0.604,0.877,0.803,1.045,0.894,1.119,1.671,1.634,1.634
