DOI,Título,Autores,Año,Citas,Revista
10.1515/jisys-2016-0354,Effective Approach to Classify and Segment Retinal Hemorrhage Using ANFIS and Particle Swarm Optimization,"Lawrence Livingston Godlin Atlas, Kumar Parasuraman",2018,2,Journal of Intelligent Systems
10.1515/jisys-2017-0360,Sparse Decomposition Technique for Segmentation and Compression of Compound Images,"V.N. Manju, A. Lenin Fred",2018,0,Journal of Intelligent Systems
10.1515/jisys-2015-0059,Reducing the Feature Space Using Constraint-Governed Association Rule Mining,"n.m. n.m., M. Umme Salma",2017,1,Journal of Intelligent Systems
10.1515/jisys.2001.11.3.173,Natural Dynamics and Neural Networks: Searching for Efficient Preying Dynamics in a Virtual World,Peter András,2001,0,Journal of Intelligent Systems
10.1515/jisys-2018-0191,Clay-Based Brick Porosity Estimation Using Image Processing Techniques,"Safa Jida, Hassan Ouallal, Brahim Aksasse, Mohammed Ouanan, Mohamed El Amraoui, Mohamed Azrour",2019,0,Journal of Intelligent Systems
10.1515/jisys.2005.14.1,n.m.,,2005,0,Journal of Intelligent Systems
10.1515/jisys.2010.19.3.249,Design of High Performance Concrete Mixes Through Particle Swarm Optimization,"M.A. Jayaram, M.C. Nataraja, C.N. Ravikumar",2010,4,Journal of Intelligent Systems
10.1515/jisys-2019-0250,Simulation of Human Ear Recognition Sound Direction Based on Convolutional Neural Network,"Zhuhe Wang, Nan Li, Tao Wu, Haoxuan Zhang, Tao Feng",2020,5,Journal of Intelligent Systems
10.1515/jisys-2012-0002,A Formalism for Action Representation Inspired by Mīmāṁsā,"Bama Srinivasan, Ranjani Parthasarathi",2012,4,Journal of Intelligent Systems
10.1515/jisys.2008.17.1-3.5,Reflex Fuzzy Min Max Neural Network for Semi-supervised Learning,"A.V. Nandedkar, P.Κ Biswas",2008,1,Journal of Intelligent Systems
10.1515/jisys-2016-0096,An Efficient Compound Image Compression Using Optimal Discrete Wavelet Transform and Run Length Encoding Techniques,"Priya Vasanth Sundara Rajan, A. Lenin Fred",2019,4,Journal of Intelligent Systems
10.1515/jisys-2016-0084,Adaptive Algorithm for Solving the Load Flow Problem in Distribution System,"Vipin Kumar, Shubham Swapnil, V. R. Singh",2018,1,Journal of Intelligent Systems
