DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2014.2362015,Fault Identification in Distributed Sensor Networks Based on Universal Probabilistic Modeling,Stavros Ntalampiras,2015,27,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2541339,Efficient Training of Supervised Spiking Neural Network via Accurate Synaptic-Efficiency Adjustment Method,Xiurui Xie and Hong Qu and Zhang Yi and Jurgen Kurths,2017,31,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2325872,Coupled Attribute Similarity Learning on Categorical Data,Can Wang and Xiangjun Dong and Fei Zhou and Longbing Cao and Chi-Hung Chi,2015,50,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2690683,On Better Exploring and Exploiting Task Relationships in Multitask Learning: Joint Model and Feature Learning,Ya Li and Xinmei Tian and Tongliang Liu and Dacheng Tao,2018,27,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2920864,A Training Data Set Cleaning Method by Classification Ability Ranking for the $k$ -Nearest Neighbor Classifier,Yidi Wang and Zhibin Pan and Yiwei Pan,2020,23,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2347054,Multitask Classification Hypothesis Space With Improved Generalization Bounds,Cong Li and Michael Georgiopoulos and Georgios C. Anagnostopoulos,2015,8,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3002798,Automated Social Text Annotation With Joint Multilabel Attention Networks,Hang Dong and Wei Wang and Kaizhu Huang and Frans Coenen,2021,7,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2651985,High-Dimensional Function Approximation With Neural Networks for Large Volumes of Data,Peter Andras,2018,11,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2329097,Evolutionary Fuzzy ARTMAP Neural Networks for Classification of Semiconductor Defects,n.m. Shing Chiang Tan and Junzo Watada and Zuwairie Ibrahim and Marzuki Khalid,2015,47,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3059653,Can Boosted Randomness Mimic Learning Algorithms of Geometric Nature? Example of a Simple Algorithm That Converges in Probability to Hard-Margin SVM,Przemyslaw Klesk and Marcin Korzen,2021,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3006322,Transfer Increment for Generalized Zero-Shot Learning,Liangjun Feng and Chunhui Zhao,2021,9,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2614130,A Novel Unified and Self-Stabilizing Algorithm for Generalized Eigenpairs Extraction,Xiaowei Feng and Xiangyu Kong and Hongguang Ma and Xiaosheng Si,2017,11,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2673423,IEEE Computational Intelligence Society Information,,2017,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2705383,IEEE Computational Intelligence Society Information,,2017,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3136357,Echo State Networks for Practical Nonlinear Model Predictive Control of Unknown Dynamic Systems,Jean Panaioti Jordanou and Eric Aislan Antonelo and Eduardo Camponogara,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2700331,Variance-Constrained State Estimation for Complex Networks With Randomly Varying Topologies,Hongli Dong and Nan Hou and Zidong Wang and Weijian Ren,2017,14,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3095140,Hierarchical-Task Reservoir for Online Semantic Analysis From Continuous Speech,Luca Pedrelli and Xavier Hinaut,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3094139,Reservoir Memory Machines as Neural Computers,Benjamin Paassen and Alexander Schulz and Terrence C. Stewart and Barbara Hammer,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3112897,Entropic Out-of-Distribution Detection: Seamless Detection of Unknown Examples,David Macedo and Tsang Ing Ren and Cleber Zanchettin and Adriano L. I. Oliveira and Teresa Ludermir,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3225164,Finite-Time Synchronization of Neural Networks With Proportional Delays for RGB-D Image Protection,Wenqiang Yang and Junjian Huang and Xing He and Shiping Wen and Tingwen Huang,2022,0,IEEE Transactions on Neural Networks and Learning Systems
