DOI,Título,Autores,Año,Citas,Revista
10.1016/j.patrec.2018.09.007,Classifying low-resolution images by integrating privileged information in deep CNNs,Marion Chevalier and Nicolas Thome and Gilles Hénaff and Matthieu Cord,2018,6,Pattern Recognition Letters
10.1016/j.patrec.2015.04.013,Speeding up the cyclic edit distance using LAESA with early abandon,Vicente Palazón-González and Andrés Marzal,2015,5,Pattern Recognition Letters
10.1016/j.patrec.2010.09.013,Clustering data in an uncertain environment using an artificial immune system,A.J. Graaff and A.P. Engelbrecht,2011,12,Pattern Recognition Letters
10.1016/j.patrec.2004.01.018,Threshold selection using fuzzy set theory,Tamalika Chaira and A.K. Ray,2004,37,Pattern Recognition Letters
10.1016/j.patrec.2016.01.020,Revision of multifractal descriptors for texture classification based on mathematical morphology,Milorad P. Paskaš and Branimir D. Reljin and Irini S. Reljin,2016,6,Pattern Recognition Letters
10.1016/j.patrec.2017.12.008,Dependence,Robert M. Haralick,2019,2,Pattern Recognition Letters
10.1016/s0167-8655(01)00023-x,Thickness extraction from biological images and interference colors,P. Lescure and H. Dupoisot and G. Stamon,2001,0,Pattern Recognition Letters
10.1016/s0167-8655(05)00129-7,Editorial board,,2005,0,Pattern Recognition Letters
10.1016/s0167-8655(09)00087-7,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2009,0,Pattern Recognition Letters
10.1016/s0167-8655(13)00105-0,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2013,0,Pattern Recognition Letters
10.1016/s0167-8655(15)00139-7,Editors-in-Chief,,2015,0,Pattern Recognition Letters
10.1016/s0167-8655(02)00115-0,Logic-oriented fuzzy clustering,Witold Pedrycz and George Vukovich,2002,14,Pattern Recognition Letters
10.1016/j.patrec.2006.02.001,View synthesis for depth from motion 3D X-ray imaging,J.P.O. Evans and Y. Liu and J.W. Chan and D. Downes,2006,8,Pattern Recognition Letters
10.1016/j.patrec.2015.05.002,"Corrigendum to ``Unsupervised learning via mixtures of skewed distributions with hypercube contours'' [Pattern Recognition Letters. 58(1), 69–76]",Brian C. Franczak and Cristina Tortora and Ryan P. Browne and Paul D. McNicholas,2015,0,Pattern Recognition Letters
10.1016/s0167-8655(00)00079-9,Sensitivity study of a semi-automatic training set generator,Rasmus Larsen and Allan Aasbjerg Nielsen and Harald Flesche,2000,1,Pattern Recognition Letters
10.1016/s0167-8655(01)00165-9,Preface,Laveen Kanal and Gabriella Sanniti di Baja and Arnold W.M Smeulders,2002,0,Pattern Recognition Letters
10.1016/s0167-8655(16)30002-2,Editors-in-Chief,,2016,0,Pattern Recognition Letters
10.1016/s0167-8655(00)00070-2,On measuring low-level self and relative saliency in photographic images,Jiebo Luo and Amit Singhal,2001,1,Pattern Recognition Letters
10.1016/s0167-8655(03)00193-4,Author Index of Volume 24,,2003,0,Pattern Recognition Letters
10.1016/s0167-8655(01)00050-2,,Kalle Åström and Bjarne Kjær Ersbøll,2001,0,Pattern Recognition Letters
10.1016/j.patrec.2022.05.018,Virtual special issue on advances in digital security: Biometrics and forensics,Diego Gragnaniello and Chang-Tsu Li and Francesco Marra and Daniel Riccio,2022,0,Pattern Recognition Letters
10.1016/j.patrec.2020.06.018,Pattern recognition and artificial intelligence techniques for cultural heritage,F. Fontanella and F. Colace and M. Molinara and A. Scotto Di Freca and F. Stanco,2020,5,Pattern Recognition Letters
10.1016/j.patrec.2016.05.001,Überatlas: Fast and robust registration for multi-atlas segmentation,Jennifer Alvén and Alexander Norlén and Olof Enqvist and Fredrik Kahl,2016,13,Pattern Recognition Letters
10.1016/j.patrec.2015.02.014,Camera-based document image matching using multi-feature probabilistic information fusion,Sumantra Dutta Roy and Kavita Bhardwaj and Rhishabh Garg and Santanu Chaudhury,2015,5,Pattern Recognition Letters
10.1016/s0167-8655(03)00048-5,A histogram-based moment-preserving clustering algorithm for video segmentation,Chi-Chun Lo and Shuenn-Jyi Wang,2003,9,Pattern Recognition Letters
10.1016/s0167-8655(03)00057-6,A nearest-neighbor chain based approach to skew estimation in document images,Yue Lu and Chew Lim Tan,2003,68,Pattern Recognition Letters
10.1016/j.patrec.2019.11.035,Enhancing sentient embodied conversational agents with machine learning,Dolça Tellols and Maite Lopez-Sanchez and Inmaculada Rodríguez and Pablo Almajano and Anna Puig,2020,5,Pattern Recognition Letters
10.1016/s0167-8655(00)00044-1,Hough-transform detection of lines in 3-D space,Prabir Bhattacharya and Haiying Liu and Azriel Rosenfeld and Scott Thompson,2000,19,Pattern Recognition Letters
10.1016/j.patrec.2011.08.015,Gaussian Process Dynamical Models for hand gesture interpretation in Sign Language,Nuwan Gamage and Ye Chow Kuang and Rini Akmeliawati and Serge Demidenko,2011,20,Pattern Recognition Letters
10.1016/j.patrec.2012.09.012,A study on font-family and font-size recognition applied to Arabic word images at ultra-low resolution,Fouad Slimane and Slim Kanoun and Jean Hennebert and Adel M. Alimi and Rolf Ingold,2013,51,Pattern Recognition Letters
10.1016/j.patrec.2013.09.001,Retraction notice to “Model-based 3D tracking of an articulated hand from single depth images” [Pattern Recogn. Lett. 34 (12) (2013) 1437–1445],Shuxin Qin and Yiping Yang and Yongshi Jiang,2013,0,Pattern Recognition Letters
10.1016/s0167-8655(12)00275-9,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2012,0,Pattern Recognition Letters
