Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"SIAM Journal on Imaging Sciences","SIAM J IMAGING SCI","1936-4954","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,235","1.938","Q3","0.81","2.87"%,
"ACM Transactions on Autonomous and Adaptive Systems","ACM T AUTON ADAP SYS","1556-4665","1556-4703","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","419","1.913","Q3","0.48","0"%,
"ACM Transactions on Interactive Intelligent Systems","ACM T INTERACT INTEL","2160-6455","2160-6463","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,014","1.887","Q4","0.42","0"%,
"ADAPTIVE BEHAVIOR","ADAPT BEHAV","1059-7123","1741-2633","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","853","1.867","Q4","0.63","16.44"%,
"Natural Language Engineering","NAT LANG ENG","1351-3249","1469-8110","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","864","1.841","Q4","1.12","28"%,
"IET Image Processing","IET IMAGE PROCESS","1751-9659","1751-9667","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,675","1.773","Q4","0.41","29.26"%,
"JOURNAL OF INTELLIGENT & FUZZY SYSTEMS","J INTELL FUZZY SYST","1064-1246","1875-8967","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10,814","1.737","Q4","0.32","0.25"%,
"ARTIFICIAL LIFE","ARTIF LIFE","1064-5462","1530-9185","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","782","1.717","Q4","0.38","16.67"%,
"Journal on Multimodal User Interfaces","J MULTIMODAL USER IN","1783-7677","1783-8738","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","535","1.694","Q4","0.32","25.25"%,
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","0890-0604","1469-1760","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","826","1.634","Q4","0.35","13.4"%,
"JOURNAL OF MATHEMATICAL IMAGING AND VISION","J MATH IMAGING VIS","0924-9907","1573-7683","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,303","1.627","Q4","0.61","17.37"%,
"Natural Computing","NAT COMPUT","1567-7818","1572-9796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,181","1.504","Q4","0.42","15.3"%,
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","NETWORK-COMP NEURAL","0954-898X","1361-6536","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","804","1.5","Q4","0.28","7.69"%,
"DATA & KNOWLEDGE ENGINEERING","DATA KNOWL ENG","0169-023X","1872-6933","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,713","1.5","Q4","0.39","8.77"%,
"IET Computer Vision","IET COMPUT VIS","1751-9632","1751-9640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,196","1.484","Q4","0.39","28.89"%,
"International Journal on Semantic Web and Information Systems","INT J SEMANT WEB INF","1552-6283","1552-6291","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","357","1.478","Q4","0.27","0"%,
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM T ASIAN LOW-RESO","2375-4699","2375-4702","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","413","1.471","Q4","0.28","0.83"%,
"Applied Ontology","APPL ONTOL","1570-5838","1875-8533","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","300","1.367","Q4","0.32","6.38"%,
"Intelligent Data Analysis","INTELL DATA ANAL","1088-467X","1571-4128","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,544","1.321","Q4","0.2","2.04"%,
"Neural Network World","NEURAL NETW WORLD","1210-0552","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","383","1.304","Q4","0.22","0"%,
"INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE","INT J PATTERN RECOGN","0218-0014","1793-6381","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,331","1.261","Q4","0.26","1.94"%,
"Statistical Analysis and Data Mining","STAT ANAL DATA MIN","1932-1864","1932-1872","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","719","1.247","Q4","0.34","12"%,
"IEEE Transactions on Games","IEEE T GAMES","2475-1502","2475-1510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","191","1.237","Q4","0.54","3.54"%,
"JOURNAL OF AUTOMATED REASONING","J AUTOM REASONING","0168-7433","1573-0670","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","935","1.15","Q4","0.32","35.33"%,
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","0218-2130","1793-6349","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","773","1.059","Q4","0.21","0"%,
