DOI,Título,Autores,Año,Citas,Revista
10.1016/j.datak.2005.04.008,Utilization of execution histories in scheduling real-time database transactions,Erdogan Dogdu,2006,6,Data &amp; Knowledge Engineering
10.1016/j.datak.2023.102150,A design of movie script generation based on natural language processing by optimized ensemble deep learning with heuristic algorithm,R. Dharaniya and J. Indumathi and V. Kaliraj,2023,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00026-4,A schedule of join operations to reduce I/O cost in spatial database systems,Jitian Xiao and Yanchun Zhang and Xiaohua Jia and Xiaofang Zhou,2000,4,Data &amp; Knowledge Engineering
10.1016/s0169-023x(09)00063-9,IFC - Editorial Board,,2009,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00152-0,IFC - Editorial board,,2002,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.03.012,A generalised temporal algebra,Georgia Garani,2006,2,Data &amp; Knowledge Engineering
10.1016/j.datak.2013.10.002,Mining frequent itemsets in data streams within a time horizon,Luigi Troiano and Giacomo Scibelli,2014,21,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00051-9,On multi-scale display of geometric objects,Edward P.F. Chan and Kevin K.W. Chow,2002,19,Data &amp; Knowledge Engineering
10.1016/s0169-023x(03)00051-x,Editorial board,,2003,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00188-0,Subject index to volume 52,,2005,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2011.09.003,S3: Processing tree-pattern XML queries with all logical operators,Sayyed Kamyar Izadi and Mostafa S. Haghjoo and Theo Härder,2012,5,Data &amp; Knowledge Engineering
10.1016/s0169-023x(05)00182-5,Inside Front Cover - Editorial Board,,2006,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00126-0,Array-index: a plug&amp;search K nearest neighbors method for high-dimensional data,Z AGHBARI,2005,14,Data &amp; Knowledge Engineering
10.1016/j.datak.2022.102056,Hybrid methodology for analysis of structured and unstructured data to support decision-making in public security,Jean Gomes Turet and Ana Paula Cabral Seixas Costa,2022,3,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.12.004,Specification and derivation of key performance indicators for business analytics: A semantic approach,Alejandro Maté and Juan Trujillo and John Mylopoulos,2017,20,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.11.002,An information-theoretic filter approach for value weighted classification learning in naive Bayes,Chang-Hwan Lee,2018,23,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00041-0,Index,,2000,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(03)00105-8,Content-based text querying with ontological descriptors,Troels Andreasen and Per Anker Jensen and Jørgen Fischer Nilsson and Patrizia Paggio and Bolette Sandford Pedersen and Hanne Erdman Thomsen,2004,21,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.07.006,An effective High Recall Retrieval method,Justin JongSu Song and Wookey Lee and Jafar Afshar,2019,3,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.05.004,Adaptive searching and replication of images in mobile hierarchical peer-to-peer networks,Kumar Abhinay Rathore and Sanjay K. Madria and Takahiro Hara,2007,6,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.03.005,Filter ranking in high-dimensional space,Ingo Schmitt and Sören Balko,2006,4,Data &amp; Knowledge Engineering
10.1016/s0169-023x(05)00064-9,Subject index to volume 54,,2005,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00012-4,Index,,2000,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00102-8,CX-DIFF: a change detection algorithm for XML content and change visualization for WebVigiL,J JACOB and A SACHDE and S CHAKRAVARTHY,2005,12,Data &amp; Knowledge Engineering
10.1016/j.datak.2020.101862,DECIDE: An Agile event-and-data driven design methodology for decisional Big Data projects,Lilia Sfaxi and Mohamed Mehdi Ben Aissa,2020,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.10.003,Discovering frequent itemsets by support approximation and itemset clustering,Kuen-Fang Jea and Ming-Yuan Chang,2008,10,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.10.001,Establishing relationships among patterns in stock market data,Dietmar H. Dorr and Anne M. Denton,2009,24,Data &amp; Knowledge Engineering
10.1016/j.datak.2022.102119,A constructive deep convolutional network model for analyzing video-to-image sequences,Guntupalli Manoj Kumar and A. Pandian,2023,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.08.001,Text document clustering based on frequent word meaning sequences,Yanjun Li and Soon M. Chung and John D. Holt,2008,146,Data &amp; Knowledge Engineering
10.1016/j.datak.2014.07.008,WB-index: A sum-of-squares based index for cluster validity,Qinpei Zhao and Pasi Fränti,2014,88,Data &amp; Knowledge Engineering
10.1016/j.datak.2023.102153,Bounding box representation of co-location instances for Chebyshev and Manhattan metrics,W. Andrzejewski and P. Boinski,2023,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(06)00211-4,IFC - Editorial Board,,2007,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.05.004,An epistemic framework for privacy protection in database linking,Da-Wei Wang and Churn-Jung Liau and Tsan-sheng Hsu,2007,8,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.06.004,Preface,Chris Biemann and André Freitas and Siegfried Handschuh and Elisabeth Métais and Farid Meziane,2016,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(10)00059-5,IFC - Editorial Board,,2010,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2020.101798,Top-k user-specified preferred answers in massive graph databases,Noseong Park and Andrea Pugliese and Edoardo Serra and V.S. Subrahmanian,2020,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.09.012,Enabling structural summaries for efficient update and workload adaptation,Qun Chen and Andrew Lim and Kian Win Ong,2008,4,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.10.008,A conceptual view on trajectories,Stefano Spaccapietra and Christine Parent and Maria Luisa Damiani and Jose Antonio de Macedo and Fabio Porto and Christelle Vangenot,2008,395,Data &amp; Knowledge Engineering
10.1016/j.datak.2022.102127,Metaheuristic enabled intelligent model for stock market prediction via integrating volatility spillover: India and its Asian and European counterparts,Deepak Kumar Tripathi and Saurabh Chadha and Ankita Tripathi,2023,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2015.02.001,Efficient mining of platoon patterns in trajectory databases,Yuxuan Li and James Bailey and Lars Kulik,2015,31,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.04.006,Efficient mining of group patterns from user movement data,Yida Wang and Ee-Peng Lim and San-Yih Hwang,2006,56,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00143-x,Web data retrieval and extraction,Zoé Lacroix,2003,7,Data &amp; Knowledge Engineering
10.1016/s0169-023x(99)00034-8,Using background knowledge in the aggregation of imprecise evidence in databases,Sally McClean and Bryan Scotney and Mary Shapcott,2000,4,Data &amp; Knowledge Engineering
10.1016/j.datak.2015.07.012,Mining time-interval univariate uncertain sequential patterns,Ying-Ho Liu,2015,7,Data &amp; Knowledge Engineering
10.1016/j.datak.2011.03.001,System models for goal-driven self-management in autonomic databases,Marc Holze and Norbert Ritter,2011,6,Data &amp; Knowledge Engineering
10.1016/j.datak.2004.11.008,Simplifying syntactic and semantic parsing of NL-based queries in advanced application domains,E. Kapetanios and D. Baer and P. Groenewoud,2005,11,Data &amp; Knowledge Engineering
10.1016/s0169-023x(99)00017-8,A compact sparse matrix representation using random hash functions,Ji-Han Jiang and Chin-Chen Chang and Tung-Shou Chen,2000,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.03.011,Enabling access-privacy for random walk based data analysis applications,Ping Lin and K. Selçuk Candan,2007,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00023-x,A retrieval technique for high-dimensional data and partially specified queries,Ratko Orlandic and Byunggu Yu,2002,18,Data &amp; Knowledge Engineering
10.1016/j.datak.2010.11.001,Special issue on conceptual modeling — 28th International Conference on Conceptual Modeling (ER 2009),Alberto H.F. Laender and Silvana Castano and Umeshwar Dayal,2010,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.06.013,Adaptive indexing for content-based search in P2P systems,Aoying Zhou and Rong Zhang and Weining Qian and Quang Hieu Vu and Tianming Hu,2008,3,Data &amp; Knowledge Engineering
10.1016/s0169-023x(14)00005-6,Editorial Board,,2014,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00010-0,Indexing support for spatial joins,Nick Koudas,2000,2,Data &amp; Knowledge Engineering
10.1016/s0169-023x(03)00185-x,Editorial board,,2004,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(19)30363-5,Editorial Board,,2019,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2010.07.004,Detection of semantic conflicts in ontology and rule-based information systems,Jose M. Alcaraz Calero and Juan M. Marín Pérez and Jorge Bernal Bernabé and Felix J. Garcia Clemente and Gregorio Martínez Pérez and Antonio F. Gómez Skarmeta,2010,17,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.09.004,Region clustering based evaluation of multiple top-N selection queries,Liang Zhu and Weiyi Meng and Wenzhu Yang and Chunnian Liu,2008,4,Data &amp; Knowledge Engineering
10.1016/j.datak.2004.06.001,A partition index for XML and semi-structured data,Jongik Kim and Hyoung-Joo Kim,2004,3,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.12.003,"Privately detecting bursts in streaming, distributed time series data",Lisa Singh and Mehmet Sayal,2009,9,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00002-1,MOSAIC: A fast multi-feature image retrieval system,Shen-Tat Goh and Kian-Lee Tan,2000,10,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00043-4,View integration of behavior in object-oriented databases,Günter Preuner and Stefan Conrad and Michael Schrefl,2001,27,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00029-x,Linguistically based requirements engineering – The NIBA-project,Günther Fliedl and Christian Kop and Heinrich C Mayr and Willi Mayerthaler and Christian Winkler,2000,8,Data &amp; Knowledge Engineering
10.1016/j.datak.2004.03.008,Facilitating cross-organisational workflows with a workflow view approach,Karsten A. Schulz and Maria E. Orlowska,2004,119,Data &amp; Knowledge Engineering
10.1016/j.datak.2021.101907,Ontology-driven evolution of software security,Sven Peldszus and Jens Bürger and Timo Kehrer and Jan Jürjens,2021,4,Data &amp; Knowledge Engineering
10.1016/j.datak.2021.101960,The impact of psycholinguistic patterns in discriminating between fake news spreaders and fact checkers,Anastasia Giachanou and Bilal Ghanem and Esteban A. Ríssola and Paolo Rosso and Fabio Crestani and Daniel Oberski,2022,7,Data &amp; Knowledge Engineering
10.1016/j.datak.2022.102087,Hepatitis C virus data analysis and prediction using machine learning,Mete Yağanoğlu,2022,2,Data &amp; Knowledge Engineering
